input_wages, input_has_plan_one,input_has_plan_two,input_has_plan_four,input_has_plan_five, input_is_weekly, input_is_four_weekly, input_is_monthly, expected_weekly_student_loan, expected_four_weekly_student_loan, expected_monthly_student_loan
1831.76,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,114,0,0
2154.08,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,143,0,0
2271.49,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0
2271.5,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,1,0
2271.6,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,1,0
2349.27,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,8,0
4227.05,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,177,0
8638.16,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,574,0
2459.86,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0
2459.87,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,1
2459.97,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,1
2493.2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,4
2948.86,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,45
5137.64,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,242
8793.2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,571
661.01,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,0,0
661.02,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,0,0
661.12,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,0,0
794.35,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,13,0,0
1916.57,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,114,0,0
2238.89,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,143,0,0
2610.72,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0,0,0
2610.73,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0,1,0
2610.83,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0,1,0
2688.5,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0,8,0
4566.28,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0,177,0
8977.39,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0,574,0
2827.36,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,0
2827.37,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,1
2827.47,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,1
2860.7,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,4
3316.36,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,45
5505.14,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,242
9160.7,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,571
491.87,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,0,0
491.88,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,1,0,0
491.98,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,1,0,0
625.21,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,13,0,0
1747.43,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,114,0,0
2069.75,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,143,0,0
1934.18,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,0,0
1934.19,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,1,0
1934.29,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,1,0
2011.96,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,8,0
3889.74,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,177,0
8300.85,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,574,0
2094.44,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0,0,0
2094.45,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0,0,1
2094.55,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0,0,1
2127.78,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0,0,4
2583.44,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0,0,45
4772.22,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0,0,242
8427.78,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0,0,571
